95*Stephen Curry*1
76*Kyle Korver*3
76*Doug McDermott*3
76*Mario Hezonja*3
76*Glenn Robinson*3
76*Wayne Selden*3
76*David Nwaba*3
76*Luol Deng*3
72*Troy Williams*3
75*Jake Layman*3
75*DeAndre Bembry*3
75*Sindarius Thornwell*3
74*Dillon Brooks*3
74*Wesley Johnson*3
68*Isaac Bonga*3
70*Wesley Iwundu*3
73*Dante Cunningham*3
72*Dwayne Bacon*3
69*Malcolm Miller*3
78*Lance Stephenson*3
78*Thabo Sefolosha*3
76*Justin Jackson*3
76*Corey Brewer*3
76*Carmelo Anthony*3
76*Denzel Valentine*3
75*Stanley Johnson*3
72*James Nunnally*3
75*Danuel House*3
75*Justin Anderson*3
75*C.J. Miles*3
74*Furkan Korkmaz*3
74*Quincy Pondexter*3
73*Semi Ojeleye*3
73*Troy Brown*3
73*Alfonzo McKinnie*3
68*Theo Pinson*3
72*Torrey Craig*3
71*Dzanan Musa*3
72*Solomon Hill*3
72*Chandler Hutchison*3
72*Jaron Blossomgame*3
71*Devin Robinson*3
68*D.J. Stephens*3
70*Jerome Robinson*3
70*Ben Moore*3
70*Rawle Alkins*3
70*Bonzie Colson*3
70*Yuta Watanabe*3
68*Haywood Highsmith*3
68*Julian Washburn*3
67*Deng Adel*3
71*Daniel Hamilton*3
70*B.J. Johnson*3
76*Jonathan Isaac*3
72*Maurice Harkless*3
78*Kelly Oubre*3
77*Terrence Ross*3
76*DeMarre Carroll*3
66*Abdel Nader*3
75*Josh Jackson*3
72*Deonte Burton*3
68*Okaro White*3
72*Keita Bates-Diop*3
70*Davon Reed*3
69*Sviatoslav Mykhailiuk*3
69*Vince Edwards*3
66*Cameron Reynolds*3
95*Giannis Antetokounmpo*4
88*Blake Griffin*4
86*Kristaps Porzingis*4
86*Kevin Love*4
85*Tobias Harris*4
85*Paul Millsap*4
85*Danilo Gallinari*4
84*Julius Randle*4
84*Pascal Siakam*4
84*John Collins*4
84*Derrick Favors*4
84*Draymond Green*4
83*Jaren Jackson*4
83*Rudy Gay*4
82*Lauri Markkanen*4
81*Noah Vonleh*4
81*Kelly Olynyk*4
80*Thaddeus Young*4
80*Marcus Morris*4
79*Kyle Kuzma*4
79*Jeff Green*4
72*Eric Moreland*4
79*Dario Saric*4
78*Nemanja Bjelica*4
70*Caleb Swanigan*4
70*Terrence Jones*4
78*Jerami Grant*4
66*Jemerrio Jones*4
78*Marvin Williams*4
77*T.J. Warren*4
76*P.J. Tucker*4
71*Rodions Kurucs*4
83*Nikola Mirotic*4
69*JaKarr Sampson*4
80*Larry Nance*4
80*Taj Gibson*4
79*Rondae Hollis-Jefferson*4
67*Wenyen Gabriel*4
78*Marvin Bagley*4
78*James Johnson*4
78*Cheick Diallo*4
78*Ivan Rabb*4
76*Michael Beasley*4
77*Michael Kidd-Gilchrist*4
67*Yante Maten*4
77*JaMychal Green*4
77*Dirk Nowitzki*4
77*Jonas Jerebko*4
77*Jabari Parker*4
77*Markieff Morris*4
77*Davis Bertans*4
76*Mike Muscala*4
75*Zach Collins*4
75*Vince Carter*4
75*Thon Maker*4
71*Quincy Acy*4
74*Jae Crowder*4
74*Mike Scott*4
73*OG Anunoby*4
72*Lance Thomas*4
68*Ike Anigbogu*4
71*T.J. Leaf*4
68*Gary Clark*4
67*Amile Jefferson*4
78*Maxi Kleber*4
77*Ersan Ilyasova*4
77*Anthony Tolliver*4
76*Wilson Chandler*4
75*Marquese Chriss*4
75*Jonah Bolden*4
75*Johnathan Motley*4
74*Ryan Anderson*4
73*Sam Dekker*4
71*Moritz Wagner*4
73*D.J. Wilson*4
73*Christian Wood*4
70*Tyler Lydon*4
73*Tyler Cavanaugh*4
66*Emanuel Terry*4
67*Richard Solomon*4
72*Luc Mbah a Moute*4
72*Omari Spellman*4
75*Alan Williams*5
72*Chandler Parsons*4
71*Jared Dudley*4
71*Dragan Bender*4
71*Henry Ellenson*4
71*Alex Poythress*4
70*Bruno Caboclo*4
70*Guerschon Yabusele*4
70*Udonis Haslem*4
69*Isaiah Hicks*4
69*Chimezie Metu*4
66*Zhou Qi*4
68*Georges Niang*4
68*Marcus Derrickson*4
67*Kostas Antetokounmpo*4
76*Omri Casspi*4
81*Aaron Gordon*4
76*Al-Farouq Aminu*4
75*Trey Lyles*4
70*Jarell Martin*4
74*Jon Leuer*4
72*Patrick Patterson*4
70*Alize Johnson*4
95*Anthony Davis*5
94*Karl-Anthony Towns*5
93*Joel Embiid*5
92*Nikola Jokic*5
90*Rudy Gobert*5
88*Nikola Vucevic*5
82*Jonas Valanciunas*5
87*Jusuf Nurkic*5
87*LaMarcus Aldridge*5
86*Al Horford*5
86*Steven Adams*5
86*Andre Drummond*5
86*DeAndre Jordan*5
85*Clint Capela*5
85*Deandre Ayton*5
85*Myles Turner*5
84*DeMarcus Cousins*5
84*Dwight Howard*5
83*Serge Ibaka*5
82*JaVale McGee*5
82*Tristan Thompson*5
82*Brook Lopez*5
82*Cody Zeller*5
80*Bam Adebayo*5
80*Jarrett Allen*5
80*Willie Cauley-Stein*5
80*Dwight Powell*5
79*Wendell Carter*5
78*Alex Len*5
78*Ivica Zubac*5
86*Marc Gasol*5
86*Hassan Whiteside*5
86*Enes Kanter*5
85*Domantas Sabonis*5
83*Montrezl Harrell*5
82*Pau Gasol*5
81*Boban Marjanovic*5
81*Dewayne Dedmon*5
80*Mitchell Robinson*5
80*Bobby Portis*5
80*Jakob Poltl*5
80*John Henson*5
80*Nerlens Noel*5
79*Aron Baynes*5
79*Kenneth Faried*5
79*Tyson Chandler*5
79*Ekpe Udoh*5
78*Jahlil Okafor*5
78*Mason Plumlee*5
71*Miles Plumlee*5
78*Gorgui Dieng*5
78*Joakim Noah*5
77*Kevon Looney*5
77*Bismack Biyombo*5
77*Salah Mejri*5
76*Robin Lopez*5
81*Willy Hernangomez*5
80*Kyle OQuinn*5
80*Andrew Bogut*5
78*Thomas Bryant*5
78*Nene Hilario*5
77*Daniel Theis*5
76*Ian Mahinmi*5
76*Robert Williams*5
76*Ante Zizic*5
75*Damian Jones*5
75*Amir Johnson*5
75*Channing Frye*5
74*Jordan Bell*5
74*Frank Kaminsky*5
74*Cristiano Felicio*5
69*Ray Spalding*5
74*Deyonta Davis*5
74*Khem Birch*5
67*Thomas Welsh*5
73*Luke Kornet*5
72*Chris Boucher*5
72*Justin Patton*5
72*Angel Delgado*5
71*Donatas Motiejunas*5
71*Isaiah Hartenstein*5
70*Drew Eubanks*5
67*Tyler Davis*5
69*Tony Bradley*5
69*Johnathan Williams*5
74*Greg Monroe*5
78*Marcin Gortat*5
76*Tyler Zeller*5
65*Isaac Humphries*5
73*Jason Smith*5
77*Richaun Holmes*5
77*Mohamed Bamba*5
77*Mo Bamba*5
77*Ed Davis*5
76*Zaza Pachulia*5
74*Harry Giles*5
74*Meyers Leonard*5
73*Kosta Koufos*5
71*Skal Labissiere*5
