96*Stephen Curry*1
70*Nick Young*3
70*Sergey Karasev*3
70*Kelly Oubre*3
70*Alonzo Gee*3
70*Sam Dekker*3
69*JaKarr Sampson*3
69*Metta World Peace*3
69*Kyle Singler*3
69*Mike Miller*3
69*Tayshaun Prince*3
69*Damjan Rudez*3
68*James Jones*3
68*Glenn Robinson*3
68*P.J. Hairston*3
68*Cleanthony Early*3
67*Jordan Hamilton*3
67*Chase Budinger*3
67*James Anderson*3
67*Damien Inglis*3
66*Dahntay Jones*3
65*Anthony Brown*3
65*Josh Huestis*3
65*Luis Montero*3
65*Bruno Caboclo*3
64*Jarell Eddie*3
72*Rasual Butler*3
69*Xavier Henry*3
68*Coty Clarke*3
68*Chris Douglas-Roberts*3
68*Landry Fields*3
67*Chris Copeland*3
67*Martell Webster*3
66*Thanasis Antetokounmpo*3
65*J.J. OBrien*3
65*Cartier Martin*3
61*Darington Hobson*3
60*Shane Edwards*3
72*Shawn Marion*3
71*Danny Granger*3
69*John Salmons*3
68*Gerald Wallace*3
68*Hedo Turkoglu*3
67*Kostas Papanikolaou*3
67*Darius Miller*3
67*Austin Daye*3
67*Travis Outlaw*3
66*Henry Walker*3
66*Reggie Williams*3
66*Francisco Garcia*3
65*Tony Mitchell*3
63*Victor Claver*3
63*Damion James*3
57*James Nunnally*3
91*Anthony Davis*4
89*LaMarcus Aldridge*4
89*Draymond Green*4
88*Blake Griffin*4
87*Paul Millsap*4
85*Derrick Favors*4
85*Chris Bosh*4
85*Dirk Nowitzki*4
83*Kevin Love*4
80*Kenneth Faried*4
80*Zach Randolph*4
80*Kristaps Porzingis*4
79*Thaddeus Young*4
79*Serge Ibaka*4
78*Ryan Anderson*4
78*Jabari Parker*4
78*Michael Beasley*4
77*David West*4
77*Aaron Gordon*4
77*Marvin Williams*4
77*Amir Johnson*4
76*Mirza Teletovic*4
76*Taj Gibson*4
76*Julius Randle*4
76*Markieff Morris*4
76*Patrick Patterson*4
75*David Lee*4
75*Brandon Bass*4
75*Dwight Powell*4
75*Jon Leuer*4
75*Nikola Mirotic*4
75*Boris Diaw*4
75*Channing Frye*4
75*Darrell Arthur*4
75*Donatas Motiejunas*4
74*Carl Landry*4
74*Ersan Ilyasova*4
74*Bobby Portis*4
74*Luis Scola*4
74*Terrence Jones*4
74*Kevin Garnett*4
73*Andrew Nicholson*4
73*Thomas Robinson*4
73*Mike Scott*4
73*Trevor Booker*4
73*Kris Humphries*4
73*Josh Smith*4
72*Quincy Acy*4
72*JaMychal Green*4
72*Larry Nance*4
72*Tyler Hansbrough*4
72*Charlie Villanueva*4
72*Lavoy Allen*4
72*Nick Collison*4
72*Luc Mbah a Moute*4
71*Josh McRoberts*4
71*Jordan Mickey*4
70*Willie Reed*4
70*Jason Thompson*4
70*Trey Lyles*4
70*Jonas Jerebko*4
70*Adreian Payne*4
70*Matt Bonner*4
70*Udonis Haslem*4
69*Richaun Holmes*4
69*Jarell Martin*4
69*Chris McCullough*4
69*Nemanja Bjelica*4
69*Anthony Tolliver*4
69*Drew Gooden*4
69*Kevon Looney*4
69*Cliff Alexander*4
68*Ryan Kelly*4
68*Noah Vonleh*4
68*Christian Wood*4
68*Jeremy Evans*4
68*Branden Dawson*4
68*Lou Amundson*4
67*Montrezl Harrell*4
67*Alan Williams*4
66*Johnny OBryant*4
65*Rakeem Christmas*4
65*Steve Novak*4
65*Eric Moreland*4
64*James Michael McAdoo*4
63*Duje Dukan*4
73*Andrea Bargnani*4
71*Jarnell Stokes*4
71*Glen Davis*4
70*DeJuan Blair*4
69*Cory Jefferson*4
69*Anthony Bennett*4
69*Perry Jones*4
69*Shawne Williams*4
65*Earl Clark*4
65*Grant Jerrett*4
64*Justin Harper*4
64*Ronald Roberts*4
74*Carlos Boozer*4
73*Reggie Evans*4
71*Andrei Kirilenko*4
70*Kenyon Martin*4
70*Jeff Adrien*4
68*Arnett Moultrie*4
68*Jason Maxiell*4
68*Rashard Lewis*4
68*Brandon Davies*4
68*Tyrus Thomas*4
67*Jack Cooley*4
67*Jeremy Tyler*4
67*Maurice N'Dour*4
66*Drew Gordon*4
66*Chris Singleton*4
66*Travis Wear*4
66*Jerrelle Benimon*4
65*Josh Powell*4
65*Shavlik Randolph*4
63*David Wear*4
61*Erik Murphy*4
90*DeMarcus Cousins*5
89*Andre Drummond*5
86*Hassan Whiteside*5
86*Karl-Anthony Towns*5
85*Pau Gasol*5
84*Brook Lopez*5
84*DeAndre Jordan*5
83*Jonas Valanciunas*5
83*Dwight Howard*5
82*Nikola Vucevic*5
82*Marc Gasol*5
80*Enes Kanter*5
80*Al Horford*5
80*Marcin Gortat*5
80*Rudy Gobert*5
80*Tim Duncan*5
79*Greg Monroe*5
79*Al Jefferson*5
79*Steven Adams*5
78*Robin Lopez*5
78*Jahlil Okafor*5
78*Tristan Thompson*5
78*Bismack Biyombo*5
77*Nikola Jokic*5
77*Mason Plumlee*5
77*Gorgui Dieng*5
77*Jared Sullinger*5
77*Andrew Bogut*5
77*Joakim Noah*5
77*Nikola Pekovic*5
76*Boban Marjanovic*5
76*Ed Davis*5
76*Zaza Pachulia*5
76*Festus Ezeli*5
76*Amare Stoudemire*5
76*Nene Hilario*5
76*Ian Mahinmi*5
76*Kelly Olynyk*5
76*Nerlens Noel*5
76*Cody Zeller*5
76*Myles Turner*5
76*Joel Embiid*5
75*JaVale McGee*5
75*John Henson*5
75*Clint Capela*5
75*Marreese Speights*5
75*Jordan Hill*5
75*Tyson Chandler*5
75*Alex Len*5
74*Cole Aldrich*5
74*Kyle OQuinn*5
74*Salah Mejri*5
74*Jusuf Nurkic*5
74*Joffrey Lauvergne*5
74*Omer Asik*5
74*Brandan Wright*5
73*Aron Baynes*5
73*Jeff Withey*5
73*Miles Plumlee*5
73*J.J. Hickson*5
73*Chris Andersen*5
73*Kosta Koufos*5
73*Timofey Mozgov*5
73*Jason Smith*5
73*Tiago Splitter*5
73*Ryan Hollins*5
73*Meyers Leonard*5
73*Roy Hibbert*5
73*Anderson Varejao*5
73*Chris Kaman*5
72*Tyler Zeller*5
72*Willie Cauley-Stein*5
72*Alexis Ajinca*5
72*Frank Kaminsky*5
72*Spencer Hawes*5
72*Henry Sims*5
71*Mike Muscala*5
71*Kevin Seraphin*5
71*Kendrick Perkins*5
71*Elton Brand*5
71*Mitch McGary*5
70*Dewayne Dedmon*5
70*Jeff Ayres*5
69*Cameron Bairstow*5
69*Nazr Mohammed*5
68*Robert Sacre*5
68*Lucas Nogueira*5
68*Sasha Kaun*5
67*Tarik Black*5
67*Joel Anthony*5
66*Edy Tavares*5
66*Shayne Whittington*5
66*Tibor Pleiss*5
65*Cristiano Felicio*5
65*Greg Smith*5
69*Sim Bhulllar*5
68*Chuck Hayes*5
66*Alex Stepheson*5
66*Hasheem Thabeet*5
63*Daniel Orton*5
63*Greg Stiemsma*5
76*Larry Sanders*5
74*Andray Blatche*5
73*Samuel Dalembert*5
73*Jermaine O'Neal*5
72*Emeka Okafor*5
71*Andrew Bynum*5
70*Jerome Jordan*5
69*Furkan Aldemir*5
69*Ronny Turiaf*5
68*Greg Oden*5
67*Bernard James*5
67*Brendan Haywood*5
67*Aaron Gray*5
66*Josh Harrellson*5
65*Dexter Pittman*5
64*Alex Kirk*5
64*Solomon Jones*5
62*Kyrylo Fesenko*5
59*Earl Barron*5
